2022-03-19 03:04:18,769; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 3, access_made_type: 2, from: 2022-03-19 02:00:00, to: 2022-03-19 03:00:00
2022-03-19 03:04:18,770; INFO; Getting person and access info for equipment_number: 5, access_made_type: 1, from: 2022-03-19 02:00:00, to: 2022-03-19 03:00:00
2022-03-19 03:04:18,997; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 5, access_made_type: 1, from: 2022-03-19 02:00:00, to: 2022-03-19 03:00:00
2022-03-19 03:04:19,005; INFO; Getting person and access info for equipment_number: 5, access_made_type: 2, from: 2022-03-19 02:00:00, to: 2022-03-19 03:00:00
2022-03-19 03:04:19,226; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 5, access_made_type: 2, from: 2022-03-19 02:00:00, to: 2022-03-19 03:00:00
2022-03-19 03:04:19,227; INFO; Getting person and access info for equipment_number: 7, access_made_type: 1, from: 2022-03-19 02:00:00, to: 2022-03-19 03:00:00
2022-03-19 03:04:19,508; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 7, access_made_type: 1, from: 2022-03-19 02:00:00, to: 2022-03-19 03:00:00
2022-03-19 03:04:19,509; INFO; Getting person and access info for equipment_number: 7, access_made_type: 2, from: 2022-03-19 02:00:00, to: 2022-03-19 03:00:00
2022-03-19 03:04:19,783; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 7, access_made_type: 2, from: 2022-03-19 02:00:00, to: 2022-03-19 03:00:00
2022-03-19 03:04:19,783; INFO; Getting person and access info for equipment_number: 9, access_made_type: 1, from: 2022-03-19 02:00:00, to: 2022-03-19 03:00:00
2022-03-19 03:04:20,055; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 9, access_made_type: 1, from: 2022-03-19 02:00:00, to: 2022-03-19 03:00:00
2022-03-19 03:04:20,056; INFO; Getting person and access info for equipment_number: 9, access_made_type: 2, from: 2022-03-19 02:00:00, to: 2022-03-19 03:00:00
2022-03-19 03:04:20,305; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 9, access_made_type: 2, from: 2022-03-19 02:00:00, to: 2022-03-19 03:00:00
2022-03-19 03:04:20,306; INFO; Getting person and access info for equipment_number: 10, access_made_type: 1, from: 2022-03-19 02:00:00, to: 2022-03-19 03:00:00
2022-03-19 03:04:20,498; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 10, access_made_type: 1, from: 2022-03-19 02:00:00, to: 2022-03-19 03:00:00
2022-03-19 03:04:20,502; INFO; Getting person and access info for equipment_number: 10, access_made_type: 2, from: 2022-03-19 02:00:00, to: 2022-03-19 03:00:00
2022-03-19 03:04:20,737; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 10, access_made_type: 2, from: 2022-03-19 02:00:00, to: 2022-03-19 03:00:00
2022-03-19 03:04:20,740; INFO; Access Report - Temperature: formatting and saving file: Relatório de acesso - Temperatura - 2022-03-19 02-00-00 - 2022-03-19 03-00-00.xlsx.
2022-03-19 03:04:20,815; INFO; Access Report - Temperature: file saved: Relatório de acesso - Temperatura - 2022-03-19 02-00-00 - 2022-03-19 03-00-00.xlsx.
2022-03-19 03:14:20,827; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-19 02-00-00 - 2022-03-19 03-00-00.xlsx already exists.
2022-03-19 03:24:20,837; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-19 02-00-00 - 2022-03-19 03-00-00.xlsx already exists.
2022-03-19 03:34:20,847; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-19 02-00-00 - 2022-03-19 03-00-00.xlsx already exists.
2022-03-19 03:44:20,858; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-19 02-00-00 - 2022-03-19 03-00-00.xlsx already exists.
2022-03-19 03:54:20,868; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-19 02-00-00 - 2022-03-19 03-00-00.xlsx already exists.
2022-03-19 03:57:51,310; INFO; 10.19.1.101: Input status: 0001
2022-03-19 03:57:51,311; INFO; Requesting access: Equipment: 133, identifier:  , request: 4. Try 1/2.
2022-03-19 03:57:51,318; INFO; Request number 18217343. Response: BOTÃO.
2022-03-19 03:57:51,332; INFO; Registered access.
2022-03-19 03:57:51,333; INFO; Getting person and access info for access_request_number: 18217343
2022-03-19 03:57:51,830; INFO; 10.19.1.101: Input status: 0000
2022-03-19 03:57:52,480; WARNING; Warning in ApiController.get_person_access_info. No data received for access_request_number: 18217343. Access was probably via button.
2022-03-19 04:04:20,878; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-19 03-00-00 - 2022-03-19 04-00-00.xlsx does not exist. Starting report build.
2022-03-19 04:04:35,650; INFO; Getting person and access info for equipment_number: 3, access_made_type: 1, from: 2022-03-19 03:00:00, to: 2022-03-19 04:00:00
2022-03-19 04:04:36,066; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 3, access_made_type: 1, from: 2022-03-19 03:00:00, to: 2022-03-19 04:00:00
2022-03-19 04:04:36,067; INFO; Getting person and access info for equipment_number: 3, access_made_type: 2, from: 2022-03-19 03:00:00, to: 2022-03-19 04:00:00
2022-03-19 04:04:36,249; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 3, access_made_type: 2, from: 2022-03-19 03:00:00, to: 2022-03-19 04:00:00
2022-03-19 04:04:36,250; INFO; Getting person and access info for equipment_number: 5, access_made_type: 1, from: 2022-03-19 03:00:00, to: 2022-03-19 04:00:00
2022-03-19 04:04:36,507; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 5, access_made_type: 1, from: 2022-03-19 03:00:00, to: 2022-03-19 04:00:00
2022-03-19 04:04:36,508; INFO; Getting person and access info for equipment_number: 5, access_made_type: 2, from: 2022-03-19 03:00:00, to: 2022-03-19 04:00:00
2022-03-19 04:04:36,684; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 5, access_made_type: 2, from: 2022-03-19 03:00:00, to: 2022-03-19 04:00:00
2022-03-19 04:04:36,685; INFO; Getting person and access info for equipment_number: 7, access_made_type: 1, from: 2022-03-19 03:00:00, to: 2022-03-19 04:00:00
2022-03-19 04:04:36,870; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 7, access_made_type: 1, from: 2022-03-19 03:00:00, to: 2022-03-19 04:00:00
2022-03-19 04:04:36,879; INFO; Getting person and access info for equipment_number: 7, access_made_type: 2, from: 2022-03-19 03:00:00, to: 2022-03-19 04:00:00
2022-03-19 04:04:37,134; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 7, access_made_type: 2, from: 2022-03-19 03:00:00, to: 2022-03-19 04:00:00
2022-03-19 04:04:37,135; INFO; Getting person and access info for equipment_number: 9, access_made_type: 1, from: 2022-03-19 03:00:00, to: 2022-03-19 04:00:00
2022-03-19 04:04:37,419; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 9, access_made_type: 1, from: 2022-03-19 03:00:00, to: 2022-03-19 04:00:00
2022-03-19 04:04:37,420; INFO; Getting person and access info for equipment_number: 9, access_made_type: 2, from: 2022-03-19 03:00:00, to: 2022-03-19 04:00:00
2022-03-19 04:04:37,695; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 9, access_made_type: 2, from: 2022-03-19 03:00:00, to: 2022-03-19 04:00:00
2022-03-19 04:04:37,696; INFO; Getting person and access info for equipment_number: 10, access_made_type: 1, from: 2022-03-19 03:00:00, to: 2022-03-19 04:00:00
2022-03-19 04:04:38,239; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 10, access_made_type: 1, from: 2022-03-19 03:00:00, to: 2022-03-19 04:00:00
2022-03-19 04:04:38,241; INFO; Getting person and access info for equipment_number: 10, access_made_type: 2, from: 2022-03-19 03:00:00, to: 2022-03-19 04:00:00
2022-03-19 04:04:38,513; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 10, access_made_type: 2, from: 2022-03-19 03:00:00, to: 2022-03-19 04:00:00
2022-03-19 04:04:38,515; INFO; Access Report - Temperature: formatting and saving file: Relatório de acesso - Temperatura - 2022-03-19 03-00-00 - 2022-03-19 04-00-00.xlsx.
2022-03-19 04:04:38,605; INFO; Access Report - Temperature: file saved: Relatório de acesso - Temperatura - 2022-03-19 03-00-00 - 2022-03-19 04-00-00.xlsx.
2022-03-19 04:14:38,615; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-19 03-00-00 - 2022-03-19 04-00-00.xlsx already exists.
2022-03-19 04:22:43,411; INFO; 10.19.1.101: Input status: 0001
2022-03-19 04:22:43,413; INFO; Requesting access: Equipment: 133, identifier:  , request: 4. Try 1/2.
2022-03-19 04:22:43,424; INFO; Request number 18220493. Response: BOTÃO.
2022-03-19 04:22:43,438; INFO; Registered access.
2022-03-19 04:22:43,440; INFO; Getting person and access info for access_request_number: 18220493
2022-03-19 04:22:43,605; WARNING; Warning in ApiController.get_person_access_info. No data received for access_request_number: 18220493. Access was probably via button.
2022-03-19 04:22:43,838; INFO; 10.19.1.101: Input status: 0000
2022-03-19 04:22:46,748; INFO; 10.19.1.101: Input status: 0010
2022-03-19 04:22:46,749; INFO; Requesting access: Equipment: 132, identifier:  , request: 4. Try 1/2.
2022-03-19 04:22:46,756; INFO; Request number 18220505. Response: BOTÃO.
2022-03-19 04:22:46,767; INFO; Registered access.
2022-03-19 04:22:46,768; INFO; Getting person and access info for access_request_number: 18220505
2022-03-19 04:22:46,935; WARNING; Warning in ApiController.get_person_access_info. No data received for access_request_number: 18220505. Access was probably via button.
