2022-03-11 00:50:16,749; INFO; Updated module list: IP: 10.19.0.110, IP: 10.19.1.101, IP: 10.19.1.103, IP: 10.19.1.105, IP: 10.19.18.103, IP: 10.19.202.103, IP: 10.19.205.103, IP: 10.19.208.103, IP: 10.19.211.103, IP: 10.19.212.103, IP: 10.19.217.103, IP: 10.19.221.104, IP: 10.19.226.101, IP: 10.19.226.108, IP: 10.19.226.110, 
2022-03-11 00:50:16,771; INFO; IO parameters identified for IP: 10.19.217.103, nu_IO: 1
2022-03-11 00:50:16,801; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 2. Try 1/2.
2022-03-11 00:50:18,813; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 2. Try 2/2.
2022-03-11 00:50:20,831; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 3. Try 1/2.
2022-03-11 00:50:22,853; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 3. Try 2/2.
2022-03-11 00:50:24,865; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 4. Try 1/2.
2022-03-11 00:50:26,877; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 4. Try 2/2.
2022-03-11 00:50:45,690; ERROR; Error in SocketController.communicate. Error message: [WinError 10054] An existing connection was forcibly closed by the remote host
2022-03-11 00:50:58,148; ERROR; Error in SocketController.communicate. Error message: [WinError 10053] An established connection was aborted by the software in your host machine
2022-03-11 00:51:01,762; WARNING; All SocketControllers offline for module 10.19.217.103, try 1/3.
2022-03-11 00:51:03,077; WARNING; All SocketControllers offline for module 10.19.217.103, try 1/3.
2022-03-11 00:51:06,764; WARNING; All SocketControllers offline for module 10.19.217.103, try 2/3.
2022-03-11 00:51:08,079; WARNING; All SocketControllers offline for module 10.19.217.103, try 2/3.
2022-03-11 00:51:11,765; WARNING; All SocketControllers offline for module 10.19.217.103, try 3/3. Module removed from module_list.
2022-03-11 00:51:13,081; WARNING; All SocketControllers offline for module 10.19.217.103, try 3/3. Module removed from module_list.
2022-03-11 00:51:59,780; INFO; Client connected, address: 10.19.217.103:5005
2022-03-11 00:51:59,791; INFO; Updated module list: IP: 10.19.0.110, IP: 10.19.1.101, IP: 10.19.1.103, IP: 10.19.1.105, IP: 10.19.18.103, IP: 10.19.202.103, IP: 10.19.205.103, IP: 10.19.208.103, IP: 10.19.211.103, IP: 10.19.212.103, IP: 10.19.217.103, IP: 10.19.221.104, IP: 10.19.226.101, IP: 10.19.226.108, IP: 10.19.226.110, 
2022-03-11 00:51:59,808; INFO; IO parameters identified for IP: 10.19.217.103, nu_IO: 1
2022-03-11 00:51:59,830; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 2. Try 1/2.
2022-03-11 00:52:01,840; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 2. Try 2/2.
2022-03-11 00:52:03,853; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 3. Try 1/2.
2022-03-11 00:52:05,866; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 3. Try 2/2.
2022-03-11 00:52:07,876; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 4. Try 1/2.
2022-03-11 00:52:09,890; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 4. Try 2/2.
2022-03-11 00:55:02,071; ERROR; Error in SocketController.communicate. Error message: [WinError 10054] An existing connection was forcibly closed by the remote host
2022-03-11 00:55:04,830; WARNING; All SocketControllers offline for module 10.19.217.103, try 1/3.
2022-03-11 00:55:09,832; WARNING; All SocketControllers offline for module 10.19.217.103, try 2/3.
2022-03-11 00:55:14,834; WARNING; All SocketControllers offline for module 10.19.217.103, try 3/3. Module removed from module_list.
2022-03-11 00:55:43,495; INFO; Client connected, address: 10.19.217.103:5005
2022-03-11 00:55:43,497; INFO; Updated module list: IP: 10.19.0.110, IP: 10.19.1.101, IP: 10.19.1.103, IP: 10.19.1.105, IP: 10.19.18.103, IP: 10.19.202.103, IP: 10.19.205.103, IP: 10.19.208.103, IP: 10.19.211.103, IP: 10.19.212.103, IP: 10.19.217.103, IP: 10.19.221.104, IP: 10.19.226.101, IP: 10.19.226.108, IP: 10.19.226.110, 
2022-03-11 00:55:43,509; INFO; IO parameters identified for IP: 10.19.217.103, nu_IO: 1
2022-03-11 00:55:43,521; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 2. Try 1/2.
2022-03-11 00:55:45,545; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 2. Try 2/2.
2022-03-11 00:55:47,556; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 3. Try 1/2.
2022-03-11 00:55:49,566; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 3. Try 2/2.
2022-03-11 00:55:51,583; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 4. Try 1/2.
2022-03-11 00:55:53,594; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 4. Try 2/2.
2022-03-11 00:56:57,203; INFO; Client connected, address: 10.19.217.103:5005
2022-03-11 00:56:57,203; INFO; Client connected, address: 10.19.217.103:5005
