2022-03-16 02:11:25,675; INFO; Getting person and access info for equipment_number: 5, access_made_type: 1, from: 2022-03-16 01:00:00, to: 2022-03-16 02:00:00
2022-03-16 02:11:25,835; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 5, access_made_type: 1, from: 2022-03-16 01:00:00, to: 2022-03-16 02:00:00
2022-03-16 02:11:25,836; INFO; Getting person and access info for equipment_number: 5, access_made_type: 2, from: 2022-03-16 01:00:00, to: 2022-03-16 02:00:00
2022-03-16 02:11:26,071; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 5, access_made_type: 2, from: 2022-03-16 01:00:00, to: 2022-03-16 02:00:00
2022-03-16 02:11:26,072; INFO; Getting person and access info for equipment_number: 7, access_made_type: 1, from: 2022-03-16 01:00:00, to: 2022-03-16 02:00:00
2022-03-16 02:11:26,350; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 7, access_made_type: 1, from: 2022-03-16 01:00:00, to: 2022-03-16 02:00:00
2022-03-16 02:11:26,351; INFO; Getting person and access info for equipment_number: 7, access_made_type: 2, from: 2022-03-16 01:00:00, to: 2022-03-16 02:00:00
2022-03-16 02:11:26,560; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 7, access_made_type: 2, from: 2022-03-16 01:00:00, to: 2022-03-16 02:00:00
2022-03-16 02:11:26,561; INFO; Getting person and access info for equipment_number: 9, access_made_type: 1, from: 2022-03-16 01:00:00, to: 2022-03-16 02:00:00
2022-03-16 02:11:26,772; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 9, access_made_type: 1, from: 2022-03-16 01:00:00, to: 2022-03-16 02:00:00
2022-03-16 02:11:26,773; INFO; Getting person and access info for equipment_number: 9, access_made_type: 2, from: 2022-03-16 01:00:00, to: 2022-03-16 02:00:00
2022-03-16 02:11:26,950; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 9, access_made_type: 2, from: 2022-03-16 01:00:00, to: 2022-03-16 02:00:00
2022-03-16 02:11:26,959; INFO; Getting person and access info for equipment_number: 10, access_made_type: 1, from: 2022-03-16 01:00:00, to: 2022-03-16 02:00:00
2022-03-16 02:11:27,195; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 10, access_made_type: 1, from: 2022-03-16 01:00:00, to: 2022-03-16 02:00:00
2022-03-16 02:11:27,196; INFO; Getting person and access info for equipment_number: 10, access_made_type: 2, from: 2022-03-16 01:00:00, to: 2022-03-16 02:00:00
2022-03-16 02:11:27,460; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 10, access_made_type: 2, from: 2022-03-16 01:00:00, to: 2022-03-16 02:00:00
2022-03-16 02:11:27,462; INFO; Access Report - Temperature: formatting and saving file: Relatório de acesso - Temperatura - 2022-03-16 01-00-00 - 2022-03-16 02-00-00.xlsx.
2022-03-16 02:11:27,544; INFO; Access Report - Temperature: file saved: Relatório de acesso - Temperatura - 2022-03-16 01-00-00 - 2022-03-16 02-00-00.xlsx.
