2022-02-22 02:06:12,896; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 7, access_made_type: 2, from: 2022-02-22 01:00:00, to: 2022-02-22 02:00:00
2022-02-22 02:06:12,897; INFO; Getting person and access info for equipment_number: 9, access_made_type: 1, from: 2022-02-22 01:00:00, to: 2022-02-22 02:00:00
2022-02-22 02:06:13,080; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 9, access_made_type: 1, from: 2022-02-22 01:00:00, to: 2022-02-22 02:00:00
2022-02-22 02:06:13,083; INFO; Getting person and access info for equipment_number: 9, access_made_type: 2, from: 2022-02-22 01:00:00, to: 2022-02-22 02:00:00
2022-02-22 02:06:13,289; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 9, access_made_type: 2, from: 2022-02-22 01:00:00, to: 2022-02-22 02:00:00
2022-02-22 02:06:13,290; INFO; Getting person and access info for equipment_number: 10, access_made_type: 1, from: 2022-02-22 01:00:00, to: 2022-02-22 02:00:00
2022-02-22 02:06:13,522; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 10, access_made_type: 1, from: 2022-02-22 01:00:00, to: 2022-02-22 02:00:00
2022-02-22 02:06:13,523; INFO; Getting person and access info for equipment_number: 10, access_made_type: 2, from: 2022-02-22 01:00:00, to: 2022-02-22 02:00:00
2022-02-22 02:06:13,688; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 10, access_made_type: 2, from: 2022-02-22 01:00:00, to: 2022-02-22 02:00:00
2022-02-22 02:06:13,690; INFO; Access Report - Temperature: formatting and saving file: Relatório de acesso - Temperatura - 2022-02-22 01-00-00 - 2022-02-22 02-00-00.xlsx.
2022-02-22 02:06:13,798; INFO; Access Report - Temperature: file saved: Relatório de acesso - Temperatura - 2022-02-22 01-00-00 - 2022-02-22 02-00-00.xlsx.
2022-02-22 02:16:13,839; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-22 01-00-00 - 2022-02-22 02-00-00.xlsx already exists.
2022-02-22 02:25:12,822; INFO; 10.19.1.101: Input status: 0010
2022-02-22 02:25:12,827; INFO; Requesting access: Equipment: 132, identifier:  , request: 4. Try 1/2.
2022-02-22 02:25:12,905; INFO; Request number 16832763. Response: BOTÃO.
2022-02-22 02:25:12,963; INFO; Registered access.
2022-02-22 02:25:12,966; INFO; Getting person and access info for access_request_number: 16832763
2022-02-22 02:25:13,224; WARNING; Warning in ApiController.get_person_access_info. No data received for access_request_number: 16832763. Access was probably via button.
2022-02-22 02:25:13,514; INFO; 10.19.1.101: Input status: 0000
2022-02-22 02:26:13,852; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-22 01-00-00 - 2022-02-22 02-00-00.xlsx already exists.
2022-02-22 02:27:38,202; INFO; Requesting access: Equipment: 133, identifier: 52132119, request: 1. Try 1/2.
